instance_id,status,message,task_id
ins-noqgsdnl,失败,不支持状态为已关机的实例ins-noqgsdnl (90d418bf),无
ins-0sf28tt1,失败,不支持状态为已关机的实例ins-0sf28tt1 (d6a21812),无
ins-k73wjih3,失败,不支持状态为已关机的实例ins-k73wjih3 (2da89942),无
ins-2jbc7e9x,失败,不支持状态为已关机的实例ins-2jbc7e9x (78c54026),无
ins-cz63lfgt,失败,不支持状态为已关机的实例ins-cz63lfgt (a036074a),无
ins-cmlqgnu5,失败,不支持状态为已关机的实例ins-cmlqgnu5 (ce4f55a1),无
ins-de1pkqkl,失败,不支持状态为已关机的实例ins-de1pkqkl (29bfc448),无
ins-p09wrxxl,失败,不支持状态为已关机的实例ins-p09wrxxl (429d0e17),无
ins-daashqln,失败,不支持状态为已关机的实例ins-daashqln (d28a1a94),无
ins-ei6o4otp,失败,不支持状态为已关机的实例ins-ei6o4otp (1a8c59f7),无
ins-8o3yzx7l,失败,不支持状态为已关机的实例ins-8o3yzx7l (2fb2b01d),无
ins-qgsnjmkr,失败,不支持状态为已关机的实例ins-qgsnjmkr (da4e69f7),无
ins-bfi5k8pt,失败,不支持状态为已关机的实例ins-bfi5k8pt (d4fe6c44),无
ins-hbv1vq1z,失败,不支持状态为已关机的实例ins-hbv1vq1z (2f7da2d8),无
ins-4uot48vh,失败,不支持状态为已关机的实例ins-4uot48vh (66cd64ed),无
ins-rylsqnql,失败,不支持状态为已关机的实例ins-rylsqnql (3f27f902),无
ins-fxqe0wen,失败,不支持状态为已关机的实例ins-fxqe0wen (e0642dd6),无
ins-r7h4fv0r,失败,不支持状态为已关机的实例ins-r7h4fv0r (1dfe8375),无
ins-1wmc351j,失败,不支持状态为已关机的实例ins-1wmc351j (face3c94),无
ins-gc0lx3rj,失败,不支持状态为已关机的实例ins-gc0lx3rj (460490eb),无
ins-0kapemi1,失败,不支持状态为已关机的实例ins-0kapemi1 (2ef18849),无
ins-998xuzmx,失败,不支持状态为已关机的实例ins-998xuzmx (6d15ab68),无
ins-4ycybdtv,成功,操作成功完成,2079155594
ins-08vzj0j1,失败,不支持状态为已关机的实例ins-08vzj0j1 (dc3391a8),无
ins-dehnooox,失败,不支持状态为已关机的实例ins-dehnooox (96d4801c),无
ins-a8cg23zb,失败,不支持状态为已关机的实例ins-a8cg23zb (aad3fb3f),无
ins-ik087qox,成功,操作成功完成,2079155654
ins-3ao6upup,成功,操作成功完成,2079155673
ins-2k0ome2r,成功,操作成功完成,2079155696
ins-gpehwch5,失败,不支持状态为已关机的实例ins-gpehwch5 (ffbf29bf),无
ins-1o95hort,失败,不支持状态为已关机的实例ins-1o95hort (528ec396),无
