ID,实例名,状态,地域,可用区,实例类型,实例规格,CPU(核数),内存(GB),GPU(卡数),操作系统,镜像Id,带宽(Mbps),主IPv4公网IP,主IPv4内网IP,主IPv4RdmaIP,主IPv6地址,系统盘类型,系统盘大小(GiB),VpcId,Vpc名称,子网Id,子网名称,网络类型,创建时间,到期时间,实例计费模式,网络计费模式,所属项目,专用宿主机ID,置放群组ID,高性能计算集群ID,数据盘_0_类型,数据盘_0_大小（GiB）,数据盘_1_类型,数据盘_1_大小（GiB）,数据盘_2_类型,数据盘_2_大小（GiB）,数据盘_3_类型,数据盘_3_大小（GiB）,标签_with-snapshot
ins-r31ch20z,PCVMDC0003,运行中,上海,上海五区,标准型SA3,SA3.2XLARGE24,8,24,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.1.47,,,CLOUD_PREMIUM,20,vpc-38uhpbpq,PVPCDC0071,subnet-45swlygh,PIPSDC0464,PVPCDC0071,2023-03-01 10:32:17,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,500,,,,,,,20
ins-058lzokl,TCVMBE0006,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-i2xdbbzh,0Mbps,,10.82.82.4,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-18 09:59:04,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,21
ins-qbc8mh47,TCVMBE0005,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-i2xdbbzh,0Mbps,,10.82.82.6,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-18 10:19:22,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,21
ins-oog8xvyf,TCVMBE0004,运行中,上海,上海五区,标准型SA3,SA3.2XLARGE16,8,16,0,CentOS 7.6 64位,img-i2xdbbzh,0Mbps,,10.82.82.16,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-18 13:33:53,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,,,,,,,21
ins-3exe1uf5,TCVMBE0007,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-pauisg1x,0Mbps,,10.82.82.13,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-22 14:43:21,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,21
ins-b4ekiz3h,TCVMBE0009,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-pauisg1x,0Mbps,,10.82.82.14,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-22 14:58:10,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,21
ins-flv4xasr,TCVMBE0008,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-pauisg1x,0Mbps,,10.82.82.11,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-22 15:33:46,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,21
ins-p8edto4t,TCVMBE0010,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-pauisg1x,0Mbps,,10.82.82.8,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-22 16:56:09,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,,,,,,,21
ins-99anl1n3,TCVMBE0012,运行中,上海,上海五区,标准型SA3,SA3.2XLARGE16,8,16,0,CentOS 7.6 64位,img-pauisg1x,0Mbps,,10.82.82.3,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-23 10:03:12,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,1
ins-lhjwt7t7,TCVMBE0013,运行中,上海,上海五区,标准型SA3,SA3.LARGE8,4,8,0,CentOS 7.6 64位,img-pauisg1x,0Mbps,,10.82.82.7,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2023-05-23 10:11:41,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,1
